,GOOGL,WFC,FB,BP,EVR,MSFT,RTN,MASI,AOS,CELG,LRCX,INTC,LPX,WRK,WMT,THO,MRO,T,MRK,XOM,JPM,LMT,HSBC,ALGN,JNJ
GOOGL,9.77728648146e-05,1.39673483932e-05,7.12405984692e-05,3.12546613346e-06,1.67110228855e-05,5.59055645915e-05,2.31859439792e-05,6.34133702744e-05,3.6926224972e-05,4.81068442773e-05,9.23248951818e-05,2.59886340675e-05,2.61524365845e-05,2.70696521926e-05,7.59915691217e-07,2.47472476448e-05,-3.61788727961e-06,2.20004301625e-07,8.32600959863e-06,1.83280524564e-06,2.18676849763e-05,1.92009269107e-05,8.41022440341e-06,0.000102099378601,1.56983697843e-05
WFC,1.39673483932e-05,0.000120680576819,1.72193147112e-05,1.93762697589e-05,0.000101038450843,2.08435720487e-05,1.16209769234e-05,1.90026546147e-05,3.78263799161e-05,3.10352201727e-05,4.77680429155e-05,2.00426684152e-05,5.20072925418e-05,6.12163276054e-05,1.33772603431e-05,5.48431536828e-05,7.22887585156e-05,2.5736605752e-05,8.60389637933e-06,2.8864364648e-05,8.69351346041e-05,1.35841529516e-05,6.01381315998e-05,-9.52398165724e-06,1.2785119836e-05
FB,7.12405984692e-05,1.72193147112e-05,9.64799466341e-05,6.58459055004e-06,3.13033051246e-05,5.43321896837e-05,1.8921806514e-05,7.87933608507e-05,2.97996989758e-05,4.06390288641e-05,9.88010568952e-05,4.05455460967e-05,3.2068309583e-05,3.43020645525e-05,7.94738793552e-06,4.24217988518e-05,-2.06664102934e-06,1.67228042832e-05,1.57846867743e-05,3.52323187021e-06,2.18998118561e-05,1.53060193596e-05,1.33074711898e-05,8.2724232861e-05,1.42264884604e-05
BP,3.12546613346e-06,1.93762697589e-05,6.58459055004e-06,8.61974218424e-05,3.66119522207e-05,8.52652001466e-06,4.74025659384e-06,1.75370767242e-05,1.3675724326e-05,2.91451947682e-07,4.05380221202e-06,2.06280841892e-05,1.30859029327e-05,1.4252813206e-05,3.12698500501e-06,3.20536921424e-05,0.000105757441958,1.77200355252e-05,9.67122468244e-06,3.84787236992e-05,2.34729925058e-05,3.41213329198e-06,2.10649880368e-05,-4.33869885413e-06,9.24120296845e-06
EVR,1.67110228855e-05,0.000101038450843,3.13033051246e-05,3.66119522207e-05,0.000210321370468,2.77714778134e-05,1.70773576412e-05,3.17990187708e-05,2.76935384164e-05,4.14408074296e-05,7.01643443205e-05,2.14575905613e-05,7.71799490764e-05,8.45010227468e-05,1.02589022441e-05,9.67519612773e-05,9.7415125222e-05,3.57456844456e-05,1.41368536186e-05,3.34534030214e-05,9.3916885898e-05,1.88252536625e-05,5.45086614666e-05,3.28326018849e-06,1.60548623138e-05
MSFT,5.59055645915e-05,2.08435720487e-05,5.43321896837e-05,8.52652001466e-06,2.77714778134e-05,7.33512493783e-05,1.92936809024e-05,6.37375874314e-05,3.92551691388e-05,4.11372269188e-05,8.86636595679e-05,3.6115337057e-05,2.98211131439e-05,3.64099855639e-05,1.77559131577e-06,5.61892018262e-05,6.66088579679e-06,5.01975815501e-06,7.89424527834e-06,1.90574982877e-06,2.05100196836e-05,1.85325386609e-05,1.67183998687e-05,5.07672279964e-05,1.6090895016e-05
RTN,2.31859439792e-05,1.16209769234e-05,1.8921806514e-05,4.74025659384e-06,1.70773576412e-05,1.92936809024e-05,5.57666201672e-05,2.57299467419e-05,2.94764389626e-05,1.7219297252e-05,2.60965095019e-05,2.36699048796e-05,9.07781545022e-06,2.16574442358e-05,1.24355301654e-05,3.31050104885e-06,3.17132861388e-06,8.3538419779e-06,7.42358245359e-06,2.89115488413e-06,1.50684227624e-05,3.83580966361e-05,4.85108914852e-06,3.6638935241e-05,1.21183628798e-05
MASI,6.34133702744e-05,1.90026546147e-05,7.87933608507e-05,1.75370767242e-05,3.17990187708e-05,6.37375874314e-05,2.57299467419e-05,0.000389580194904,4.18239983124e-05,4.34149252333e-05,0.000111559646053,5.14105096417e-05,3.93470464915e-05,5.15206321431e-05,9.05060855813e-06,6.41752295177e-05,-1.37863049133e-05,1.30367430929e-05,1.34166028549e-05,1.35555223247e-05,3.31847501941e-05,2.79255336612e-05,-9.38891878035e-06,1.17047266623e-05,9.29077768521e-06
AOS,3.6926224972e-05,3.78263799161e-05,2.97996989758e-05,1.3675724326e-05,2.76935384164e-05,3.92551691388e-05,2.94764389626e-05,4.18239983124e-05,8.9596709703e-05,3.32174545248e-05,6.05208842564e-05,3.0603506894e-05,3.81572549464e-05,6.14521236154e-05,4.4178841533e-06,3.76515653767e-05,1.7173042848e-05,4.33194036109e-06,7.5128184479e-06,4.3028492537e-06,3.8274364888e-05,2.52978180415e-05,2.60651780162e-05,4.7009572921e-05,1.78706597066e-05
CELG,4.81068442773e-05,3.10352201727e-05,4.06390288641e-05,2.91451947682e-07,4.14408074296e-05,4.11372269188e-05,1.7219297252e-05,4.34149252333e-05,3.32174545248e-05,0.000142111872148,7.6305943412e-05,2.50382822863e-05,6.69899600033e-05,3.32931231101e-05,9.41978005335e-06,5.56174941328e-05,9.32323198273e-06,9.74790549311e-06,2.44209524609e-05,4.93433501071e-06,3.7263382759e-05,2.00527056527e-05,2.29983009823e-05,6.84674073823e-05,3.05990788326e-05
LRCX,9.23248951818e-05,4.77680429155e-05,9.88010568952e-05,4.05380221202e-06,7.01643443205e-05,8.86636595679e-05,2.60965095019e-05,0.000111559646053,6.05208842564e-05,7.6305943412e-05,0.000283614335168,5.77862449781e-05,7.75923667909e-05,8.1163406949e-05,1.72371150432e-05,9.97824118415e-05,-3.28938884754e-05,1.6634531456e-05,7.56139587034e-06,4.01958153664e-06,3.31947481917e-05,2.81386423545e-05,2.82541202977e-05,8.9759283206e-05,2.5363675424e-05
INTC,2.59886340675e-05,2.00426684152e-05,4.05455460967e-05,2.06280841892e-05,2.14575905613e-05,3.6115337057e-05,2.36699048796e-05,5.14105096417e-05,3.0603506894e-05,2.50382822863e-05,5.77862449781e-05,8.22104324481e-05,1.77850404542e-05,2.96805099647e-05,2.02837803516e-05,2.63498601082e-05,8.1233262764e-06,1.73110018679e-05,1.41305973073e-05,6.6589121031e-06,2.42185418862e-05,2.1508877677e-05,1.17871511586e-05,9.59634871238e-06,1.08860519344e-05
LPX,2.61524365845e-05,5.20072925418e-05,3.2068309583e-05,1.30859029327e-05,7.71799490764e-05,2.98211131439e-05,9.07781545022e-06,3.93470464915e-05,3.81572549464e-05,6.69899600033e-05,7.75923667909e-05,1.77850404542e-05,0.000186173013762,6.75456558202e-05,-1.49608716298e-06,7.23464887944e-05,8.26854425593e-05,1.1682093095e-05,1.64704069079e-05,2.80706206634e-05,4.48103598088e-05,1.25709544073e-05,2.72301244922e-05,5.25270926222e-06,1.602852793e-05
WRK,2.70696521926e-05,6.12163276054e-05,3.43020645525e-05,1.4252813206e-05,8.45010227468e-05,3.64099855639e-05,2.16574442358e-05,5.15206321431e-05,6.14521236154e-05,3.32931231101e-05,8.1163406949e-05,2.96805099647e-05,6.75456558202e-05,0.000178556959159,-1.96670558788e-06,7.08478134619e-05,1.02415203327e-05,2.12445008427e-05,2.31901007888e-05,2.48169824399e-05,6.5328753905e-05,1.9446375263e-05,3.78690435833e-05,5.21165491009e-06,2.92673903962e-06
WMT,7.59915691217e-07,1.33772603431e-05,7.94738793552e-06,3.12698500501e-06,1.02589022441e-05,1.77559131577e-06,1.24355301654e-05,9.05060855813e-06,4.4178841533e-06,9.41978005335e-06,1.72371150432e-05,2.02837803516e-05,-1.49608716298e-06,-1.96670558788e-06,7.78194882302e-05,7.11270674688e-06,5.84130637924e-06,1.26921963047e-05,8.4965591186e-06,-1.44334132606e-07,9.35433427895e-06,7.48847202484e-06,1.78009429534e-06,3.62597474397e-06,-4.94985900074e-06
THO,2.47472476448e-05,5.48431536828e-05,4.24217988518e-05,3.20536921424e-05,9.67519612773e-05,5.61892018262e-05,3.31050104885e-06,6.41752295177e-05,3.76515653767e-05,5.56174941328e-05,9.97824118415e-05,2.63498601082e-05,7.23464887944e-05,7.08478134619e-05,7.11270674688e-06,0.000341238857536,7.49413437222e-05,3.05282877576e-05,2.59393776516e-05,3.58151685541e-05,6.46716866397e-05,3.39368165519e-06,4.19085874434e-05,1.71006248163e-05,1.15506077979e-05
MRO,-3.61788727961e-06,7.22887585156e-05,-2.06664102934e-06,0.000105757441958,9.7415125222e-05,6.66088579679e-06,3.17132861388e-06,-1.37863049133e-05,1.7173042848e-05,9.32323198273e-06,-3.28938884754e-05,8.1233262764e-06,8.26854425593e-05,1.02415203327e-05,5.84130637924e-06,7.49413437222e-05,0.000522228118901,1.52585422597e-05,1.58238717972e-05,9.16214198973e-05,7.06059071074e-05,5.04292525864e-06,2.90155015585e-05,-4.28200569056e-05,1.71746192954e-05
T,2.20004301625e-07,2.5736605752e-05,1.67228042832e-05,1.77200355252e-05,3.57456844456e-05,5.01975815501e-06,8.3538419779e-06,1.30367430929e-05,4.33194036109e-06,9.74790549311e-06,1.6634531456e-05,1.73110018679e-05,1.1682093095e-05,2.12445008427e-05,1.26921963047e-05,3.05282877576e-05,1.52585422597e-05,9.35076114733e-05,2.01362601852e-05,1.57151722311e-05,2.38958013497e-05,9.4919738368e-06,1.50682525006e-05,-6.94201862644e-06,6.20323864964e-06
MRK,8.32600959863e-06,8.60389637933e-06,1.57846867743e-05,9.67122468244e-06,1.41368536186e-05,7.89424527834e-06,7.42358245359e-06,1.34166028549e-05,7.5128184479e-06,2.44209524609e-05,7.56139587034e-06,1.41305973073e-05,1.64704069079e-05,2.31901007888e-05,8.4965591186e-06,2.59393776516e-05,1.58238717972e-05,2.01362601852e-05,5.44802406771e-05,1.01086195674e-05,1.26946644291e-05,4.57462476903e-06,2.11100147823e-07,8.3856148407e-06,2.00443226703e-05
XOM,1.83280524564e-06,2.8864364648e-05,3.52323187021e-06,3.84787236992e-05,3.34534030214e-05,1.90574982877e-06,2.89115488413e-06,1.35555223247e-05,4.3028492537e-06,4.93433501071e-06,4.01958153664e-06,6.6589121031e-06,2.80706206634e-05,2.48169824399e-05,-1.44334132606e-07,3.58151685541e-05,9.16214198973e-05,1.57151722311e-05,1.01086195674e-05,5.53527278023e-05,2.66993087555e-05,5.97605945793e-06,1.64289253333e-05,-1.94927087034e-05,1.03339928372e-05
JPM,2.18676849763e-05,8.69351346041e-05,2.18998118561e-05,2.34729925058e-05,9.3916885898e-05,2.05100196836e-05,1.50684227624e-05,3.31847501941e-05,3.8274364888e-05,3.7263382759e-05,3.31947481917e-05,2.42185418862e-05,4.48103598088e-05,6.5328753905e-05,9.35433427895e-06,6.46716866397e-05,7.06059071074e-05,2.38958013497e-05,1.26946644291e-05,2.66993087555e-05,0.00010614606845,1.85471888524e-05,5.42340702332e-05,7.83643196703e-06,1.01000610351e-05
LMT,1.92009269107e-05,1.35841529516e-05,1.53060193596e-05,3.41213329198e-06,1.88252536625e-05,1.85325386609e-05,3.83580966361e-05,2.79255336612e-05,2.52978180415e-05,2.00527056527e-05,2.81386423545e-05,2.1508877677e-05,1.25709544073e-05,1.9446375263e-05,7.48847202484e-06,3.39368165519e-06,5.04292525864e-06,9.4919738368e-06,4.57462476903e-06,5.97605945793e-06,1.85471888524e-05,4.70079990148e-05,6.53751501474e-06,3.14742529475e-05,1.10275941864e-05
HSBC,8.41022440341e-06,6.01381315998e-05,1.33074711898e-05,2.10649880368e-05,5.45086614666e-05,1.67183998687e-05,4.85108914852e-06,-9.38891878035e-06,2.60651780162e-05,2.29983009823e-05,2.82541202977e-05,1.17871511586e-05,2.72301244922e-05,3.78690435833e-05,1.78009429534e-06,4.19085874434e-05,2.90155015585e-05,1.50682525006e-05,2.11100147823e-07,1.64289253333e-05,5.42340702332e-05,6.53751501474e-06,8.48607020473e-05,1.4934157318e-05,1.16502606142e-05
ALGN,0.000102099378601,-9.52398165724e-06,8.2724232861e-05,-4.33869885413e-06,3.28326018849e-06,5.07672279964e-05,3.6638935241e-05,1.17047266623e-05,4.7009572921e-05,6.84674073823e-05,8.9759283206e-05,9.59634871238e-06,5.25270926222e-06,5.21165491009e-06,3.62597474397e-06,1.71006248163e-05,-4.28200569056e-05,-6.94201862644e-06,8.3856148407e-06,-1.94927087034e-05,7.83643196703e-06,3.14742529475e-05,1.4934157318e-05,0.000378300938092,2.60654063765e-05
JNJ,1.56983697843e-05,1.2785119836e-05,1.42264884604e-05,9.24120296845e-06,1.60548623138e-05,1.6090895016e-05,1.21183628798e-05,9.29077768521e-06,1.78706597066e-05,3.05990788326e-05,2.5363675424e-05,1.08860519344e-05,1.602852793e-05,2.92673903962e-06,-4.94985900074e-06,1.15506077979e-05,1.71746192954e-05,6.20323864964e-06,2.00443226703e-05,1.03339928372e-05,1.01000610351e-05,1.10275941864e-05,1.16502606142e-05,2.60654063765e-05,5.21279189061e-05
