Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2015-04-09,120.709961,383.540009,15.15486,28.913393,40.869568,34.813652,210.089996
2015-04-10,121.225006,382.649994,15.164508,29.014553,40.855309,34.43359,210.899994
2015-04-13,120.986565,382.359985,15.241682,28.563929,40.722141,34.490601,209.779999
2015-04-14,120.46199,385.109985,15.260974,28.766251,41.173969,35.003677,207.460007
2015-04-15,120.919792,383.450012,15.087336,29.253658,40.774452,35.526268,207.830002
2015-04-16,120.33799,386.040009,15.232034,29.299637,40.78397,35.497757,206.699997
2015-04-17,118.983627,375.559998,15.010162,28.692682,40.455791,34.918171,206.789993
2015-04-20,121.701889,389.51001,15.019809,29.152498,40.094326,35.117699,205.270004
2015-04-21,121.0438,391.179993,14.952284,29.023748,39.984936,34.918171,209.410004
2015-04-22,122.674751,389.799988,15.1838,29.336424,39.832737,35.345734,219.440002
2015-04-23,123.676208,389.98999,15.135567,29.492765,39.870785,35.516762,218.600006
2015-04-24,124.257996,445.100006,15.087336,29.649105,39.92786,35.497757,218.429993
2015-04-27,126.518456,438.559998,15.010162,29.198477,39.713837,35.203209,231.550003
2015-04-28,124.525078,429.309998,15.096982,29.593924,39.723335,35.336777,230.479996
2015-04-29,122.693825,429.369995,15.41532,29.603117,39.290539,35.766087,232.449997
2015-04-30,119.365135,421.779999,15.367087,29.216873,38.60564,35.594353,226.050003
2015-05-01,122.989487,422.869995,15.540729,29.290443,38.967113,35.785164,226.029999
2015-05-04,122.751053,423.040009,15.859066,29.244463,39.147846,36.166767,230.509995
2015-05-05,119.985092,421.190002,15.772245,28.885803,38.838703,35.727921,232.949997
2015-05-06,119.231606,419.100006,15.714367,28.92259,38.895775,35.346313,230.429993
2015-05-07,119.969086,426.880005,15.666131,28.876604,39.309559,35.813786,236.800003
2015-05-08,122.229424,433.690002,15.868713,29.060534,39.585419,36.147686,236.610001
2015-05-11,120.984306,432.850006,15.907299,28.582323,39.71859,36.491135,239.490005
2015-05-12,120.553329,431.019989,15.84942,28.766251,39.652004,35.9855,244.740005
2015-05-13,120.687416,426.869995,15.888006,28.996159,39.380913,36.042747,243.179993
2015-05-14,123.503227,432.279999,15.936238,29.446783,40.018635,36.386196,244.100006
2015-05-15,123.330833,426.0,15.772245,29.143301,40.095352,36.109528,248.839996
2015-05-18,124.690865,425.23999,15.926591,29.198477,40.34948,36.567455,248.75
2015-05-19,124.575912,421.709991,16.177406,29.180086,40.603615,36.9109,247.139999
2015-05-20,124.566338,423.859985,16.148462,28.839821,40.694725,36.567455,244.350006
2015-05-21,125.840164,431.630005,16.138817,29.060534,40.579643,36.290787,245.619995
2015-05-22,126.941574,427.630005,16.158112,28.812233,40.488541,36.414806,247.729996
2015-05-26,124.14492,425.470001,15.916947,28.50631,40.330303,36.052284,247.460007
2015-05-27,126.462708,431.420013,16.148462,28.904936,40.445377,36.844116,247.429993
2015-05-28,126.213676,426.570007,16.080942,28.459959,40.531689,36.949059,251.449997
2015-05-29,124.777046,429.230011,15.916947,28.228203,40.263176,36.443432,250.800003
2015-06-01,125.026062,430.920013,15.965178,27.913012,40.536484,36.805962,249.449997
2015-06-02,124.470581,430.98999,16.129171,27.71833,40.229607,36.748726,248.350006
2015-06-03,124.623802,436.589996,16.380739,27.829575,40.454975,37.216187,248.990005
2015-06-04,123.895912,430.779999,16.235603,27.468031,39.94191,36.920441,245.919998
2015-06-05,123.215904,426.950012,16.632303,27.505117,39.611061,37.483311,249.139999
2015-06-08,122.401802,423.5,16.525869,27.291893,39.606258,37.292507,256.290009
2015-06-09,122.037849,425.480011,16.748407,27.282627,39.836422,37.330677,256.0
2015-06-10,123.436188,430.769989,17.019323,27.885199,40.085754,38.055725,250.699997
2015-06-11,123.158417,432.970001,16.922571,28.061335,40.239197,38.036644,251.410004
2015-06-12,121.798416,429.920013,16.922571,27.940821,39.956299,37.788593,250.690002
2015-06-15,121.558975,423.670013,16.903217,27.634899,39.476807,37.712276,250.380005
2015-06-16,122.210251,427.26001,16.980621,27.968632,39.70216,37.912621,253.119995
2015-06-17,121.92292,427.809998,16.806463,28.079876,39.889172,37.759983,260.410004
2015-06-18,122.478409,439.390015,16.816135,28.265278,40.071377,37.96032,261.890015
2015-06-19,121.252487,434.920013,16.612949,28.256012,40.080967,37.559635,262.51001
2015-06-22,122.219826,436.290009,16.903217,28.422878,40.196049,38.017563,259.790009
2015-06-23,121.664322,445.98999,17.096727,28.589745,39.93232,38.361004,267.670013
2015-06-24,122.698708,440.839996,16.922571,28.43215,39.625443,37.817223,265.170013
2015-06-25,122.114471,440.100006,16.806463,27.977901,39.706959,37.416531,268.790009
2015-06-26,121.396149,438.100006,16.845165,27.709061,39.711758,37.683655,267.089996
2015-06-29,119.269913,429.859985,16.342033,26.948895,38.85825,36.548378,262.019989
2015-06-30,120.131905,434.089996,16.467817,27.152843,38.901409,37.006306,268.26001
2015-07-01,121.252487,437.390015,16.661327,27.356789,39.673397,37.550095,269.149994
2015-07-02,121.099236,437.709991,16.477491,27.375332,39.376106,37.20665,280.019989
2015-07-06,120.677834,436.040009,16.390413,27.366058,39.227459,37.063541,279.720001
2015-07-07,120.380928,436.720001,16.148523,27.885199,40.061787,36.844116,267.880005
2015-07-08,117.392715,429.700012,15.722796,27.653439,40.076176,36.052284,254.960007
2015-07-09,114.998314,434.390015,15.945333,27.801764,39.884377,36.348026,257.920013
2015-07-10,118.072723,443.51001,16.158199,28.126225,40.330303,36.863197,259.149994
2015-07-13,120.352196,455.570007,16.467817,28.422878,40.694725,37.511932,262.160004
2015-07-14,120.304298,465.570007,16.574247,28.274553,40.67075,37.883995,265.649994
2015-07-15,121.463196,461.190002,17.106403,28.293098,40.66116,37.874462,263.140015
2015-07-16,123.081818,475.480011,17.367645,28.469231,41.145447,38.074806,266.679993
2015-07-17,124.14492,483.01001,17.512777,28.302364,40.742668,38.351471,274.660004
2015-07-20,126.491463,488.100006,17.532131,28.265278,41.092697,38.198833,282.26001
2015-07-21,125.227188,488.0,17.493427,28.357986,40.622795,38.236988,266.769989
2015-07-22,119.930779,488.269989,17.851423,27.940821,40.809799,38.675835,267.869995
2015-07-23,119.873306,482.179993,17.590181,27.71833,40.651566,38.103424,267.200012
2015-07-24,119.241196,529.419983,17.319267,26.958164,40.512508,37.779053,265.410004
2015-07-27,117.584259,531.409973,17.096727,26.652241,40.574848,37.445148,253.009995
2015-07-28,118.168503,526.030029,17.299915,27.013786,41.001598,37.445148,264.820007
2015-07-29,117.794968,529.0,17.570833,27.152843,41.389984,37.62711,263.820007
2015-07-30,117.201164,536.76001,17.541803,27.273355,41.610546,37.636684,266.790009
2015-07-31,116.176353,536.150024,17.299915,27.013786,41.394779,37.196156,266.149994
2015-08-03,113.437157,535.030029,17.193485,26.809839,41.903046,37.119541,259.98999
2015-08-04,109.797668,531.900024,17.222509,26.911812,42.200333,37.27277,266.279999
2015-08-05,110.525574,537.01001,17.290241,27.069412,42.909981,37.349388,270.130005
2015-08-06,110.76609,529.460022,17.232185,26.809839,42.842857,37.282349,246.130005
2015-08-07,111.141319,522.619995,17.174135,26.958164,43.016769,36.947159,242.509995
2015-08-10,115.182114,524.0,17.454727,27.319708,43.084412,37.425999,241.139999
2015-08-11,109.188248,527.460022,17.212839,27.264086,42.722073,36.315086,237.369995
2015-08-12,110.871918,525.909973,16.951597,27.310434,43.040936,35.979904,238.169998
2015-08-13,110.785339,529.659973,17.048351,27.097218,43.123062,36.15229,242.509995
2015-08-14,111.564629,531.52002,17.125759,27.236271,43.311485,36.43959,243.149994
2015-08-17,112.719162,535.219971,17.193485,27.477301,43.63517,36.525784,254.990005
2015-08-18,112.084152,535.02002,17.116079,27.375332,43.755951,36.219322,260.720001
2015-08-19,110.650642,532.919983,16.893541,27.162107,43.359795,35.855408,255.25
2015-08-20,108.380096,515.780029,16.177551,26.235075,42.828369,34.639156,242.179993
2015-08-21,101.751259,494.470001,15.577664,25.335854,41.88628,32.762115,230.770004
2015-08-24,99.211334,463.369995,14.793944,24.538603,41.055325,30.894644,218.869995
2015-08-25,99.807816,466.369995,14.764917,23.930286,40.074589,30.415806,220.029999
2015-08-26,105.532295,500.769989,15.538961,24.903591,41.060154,31.890629,224.839996
2015-08-27,108.639862,518.369995,15.906637,25.390245,41.808987,32.848305,242.990005
2015-08-28,108.995834,518.01001,15.829229,25.511913,41.958748,32.608887,248.479996
2015-08-31,108.485931,512.890015,15.809876,25.539988,41.683372,32.991959,249.059998
2015-09-01,103.636963,496.540009,15.074533,24.819365,40.543213,31.718248,238.630005
2015-09-02,108.081833,510.549988,15.38515,25.455757,40.992516,32.35989,247.690002
2015-09-03,106.186516,504.720001,15.472509,25.699085,41.562595,32.369465,245.570007
2015-09-04,105.128212,499.0,15.191014,25.334097,41.031166,31.785282,241.929993
2015-09-08,108.052979,517.539978,15.686057,26.279329,41.794498,32.819576,248.169998
2015-09-09,105.974854,516.890015,15.433682,25.633577,41.176102,32.32159,248.910004
2015-09-10,108.303116,522.23999,15.569578,25.755241,41.060154,32.436504,248.479996
2015-09-11,109.880959,529.440002,15.569578,25.942413,40.625347,32.55143,250.240005
2015-09-14,110.939262,521.380005,15.491922,25.961132,40.306488,32.379047,253.190002
2015-09-15,111.872498,522.369995,15.831657,26.307404,40.697815,33.116447,253.570007
2015-09-16,111.997581,527.390015,15.851072,26.410349,40.808933,33.154766,262.25
2015-09-17,109.601952,538.869995,15.394856,26.157665,40.987682,32.608887,262.070007
2015-09-18,109.149773,540.26001,15.103656,25.802032,40.528721,31.632048,260.619995
2015-09-21,110.843056,548.390015,15.239549,25.97049,40.968361,31.92893,264.200012
2015-09-22,109.101662,538.400024,15.113362,25.586782,40.577038,31.067022,260.940002
2015-09-23,109.986801,536.070007,15.258964,25.577423,40.63018,30.952105,261.059998
2015-09-24,110.641022,533.75,15.093947,25.74588,40.953861,30.616917,263.119995
2015-09-25,110.362015,524.25,15.423978,25.605497,41.369347,30.827604,256.910004
2015-09-28,108.178062,504.059998,15.016294,25.015896,40.794437,29.774164,248.429993
2015-09-29,104.926178,496.070007,14.899814,25.109484,40.837917,29.69755,246.649994
2015-09-30,106.119179,511.890015,15.123068,25.549351,40.53355,30.166809,248.399994
2015-10-01,105.42646,520.719971,15.093947,25.624218,40.485245,30.166809,239.880005
2015-10-02,106.196136,532.539978,14.928933,25.90498,41.127789,30.099773,247.570007
2015-10-05,106.580978,543.679993,15.229841,26.522654,41.736511,30.923376,246.149994
2015-10-06,107.090881,537.47998,15.229841,26.625603,41.335526,30.990414,241.460007
2015-10-07,106.580978,541.940002,15.288082,26.79406,41.789661,31.536287,231.960007
2015-10-08,105.349495,533.159973,15.288082,26.934441,42.055378,31.593752,226.720001
2015-10-09,107.870178,539.799988,15.123068,27.140329,42.330753,31.335176,220.690002
2015-10-12,107.369888,550.190002,15.064828,27.065462,42.659279,31.411785,215.580002
2015-10-13,107.552696,548.900024,15.064828,26.850212,42.480518,31.229836,219.25
2015-10-14,106.032578,544.830017,15.181308,26.803417,42.011898,31.162794,216.880005
2015-10-15,107.620049,562.440002,15.715178,27.037382,42.282436,32.187511,221.309998
2015-10-16,106.831116,570.76001,15.647231,27.065462,42.693089,32.513119,227.009995
2015-10-19,107.494957,573.150024,15.666644,26.653679,42.615788,30.952105,228.100006
2015-10-20,109.457634,560.880005,15.724886,26.550732,42.562649,30.885069,213.029999
2015-10-21,109.448021,555.77002,15.433682,25.933056,42.422543,30.147655,210.089996
2015-10-22,111.122078,563.909973,15.686057,26.223175,42.828369,30.980833,211.720001
2015-10-23,114.566376,599.030029,16.0355,25.97049,42.422543,31.239407,209.089996
2015-10-26,110.910416,608.609985,16.025795,26.092152,42.123009,31.172367,215.259995
2015-10-27,110.208076,611.01001,15.919024,25.624218,41.828316,30.865911,210.350006
