,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.08,0.02,0.08,0.03,0.01,0.01,0.01,0.06,0.02,0.03,0.11,0.13,0.01,0.02,0.02,0.03,0.08,0.01,0.04,0.01,0.06,0.02,0.02,0.08,0.01,0.150753613681,0.00672830549875,22.4058811998
1,0.01,0.01,0.07,0.11,0.08,0.03,0.03,0.02,0.02,0.01,0.02,0.05,0.14,0.01,0.02,0.02,0.1,0.02,0.13,0.02,0.02,0.02,0.02,0.01,0.01,0.104172537767,0.00633028910937,16.4562053908
2,0.03,0.02,0.02,0.08,0.17,0.08,0.06,0.01,0.02,0.01,0.04,0.03,0.03,0.08,0.01,0.02,0.06,0.01,0.03,0.01,0.04,0.04,0.06,0.02,0.02,0.127236253479,0.00655894111975,19.3989016147
3,0.01,0.04,0.03,0.03,0.09,0.01,0.01,0.05,0.01,0.01,0.09,0.09,0.02,0.01,0.03,0.02,0.12,0.01,0.01,0.02,0.07,0.07,0.02,0.11,0.02,0.0562532815026,0.00685892865687,8.2014676514
4,0.01,0.01,0.02,0.05,0.01,0.01,0.01,0.04,0.05,0.02,0.05,0.13,0.07,0.05,0.05,0.03,0.01,0.01,0.12,0.01,0.08,0.02,0.08,0.01,0.05,0.135707626133,0.00554016038188,24.4952522632
5,0.01,0.05,0.05,0.02,0.01,0.12,0.03,0.08,0.08,0.04,0.03,0.01,0.06,0.02,0.1,0.01,0.01,0.01,0.01,0.07,0.04,0.01,0.03,0.05,0.05,0.115415608918,0.00569347995852,20.2715403864
6,0.01,0.03,0.16,0.02,0.02,0.09,0.01,0.03,0.01,0.03,0.07,0.02,0.04,0.01,0.08,0.07,0.02,0.06,0.05,0.03,0.04,0.02,0.05,0.02,0.01,0.115798597574,0.00606235370726,19.1012605278
7,0.01,0.03,0.03,0.02,0.01,0.04,0.01,0.04,0.13,0.01,0.05,0.06,0.06,0.01,0.04,0.03,0.02,0.03,0.03,0.05,0.03,0.01,0.03,0.02,0.2,0.0878171989188,0.00540864116314,16.2364624071
8,0.06,0.01,0.01,0.09,0.03,0.04,0.05,0.04,0.06,0.06,0.13,0.02,0.03,0.04,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.12,0.07,0.145294172763,0.00672451621914,21.6066357829
9,0.01,0.01,0.06,0.02,0.04,0.01,0.04,0.05,0.06,0.12,0.01,0.02,0.01,0.01,0.04,0.04,0.11,0.04,0.03,0.01,0.01,0.02,0.18,0.01,0.04,0.0803892259216,0.00603257548902,13.3258549467
