Date,iwm,mdy,spy
2017-08-29,137.490005,311.170013,244.850006
2017-08-30,138.369995,313.059998,246.009995
2017-08-31,139.729996,315.579987,247.490005
2017-09-01,140.520004,316.799988,247.839996
2017-09-05,139.169998,313.329987,246.059998
2017-09-06,139.460007,313.700012,246.899994
2017-09-07,139.110001,312.660004,246.869995
2017-09-08,139.220001,313.440002,246.580002
2017-09-11,140.679993,317.170013,249.210007
2017-09-12,141.539993,319.380005,250.050003
2017-09-13,141.960007,319.019989,250.169998
2017-09-14,141.830002,318.929993,250.089996
2017-09-15,142.410004,318.609985,249.190002
2017-09-18,143.380005,320.119995,249.720001
2017-09-19,143.380005,320.089996,249.970001
2017-09-20,143.839996,321.029999,250.059998
2017-09-21,143.740005,320.309998,249.399994
