,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,aap,2017-03-01,2017-09-22,-0.58191051451,-0.388704345537,-0.680835301977,156.442657,95.589996,0.0253819918939,0.0253819918939,-0.00306595233432
1,adsk,2017-03-01,2017-09-22,0.581514758552,0.295249074325,0.494287544769,88.93,111.779999,0.0189065579384,0.0189065579384,0.00196955445233
2,avgo,2017-03-01,2017-09-22,0.278801770529,0.148888238633,0.448870850552,212.392334,239.240005,0.0155941037427,0.0155941037427,0.00108440235581
3,bud,2017-03-01,2017-09-22,0.152311048153,0.0833002017271,0.263498113304,107.881783,116.389999,0.0115420120148,0.0115420120148,0.000621089511284
4,chtr,2017-03-01,2017-09-22,0.21325520739,0.11527267452,0.0191929686651,325.170013,360.299988,0.0140227993093,0.0140227993093,0.000854954600008
5,cmcsa,2017-03-01,2017-09-22,0.0476917947715,0.0266429764521,0.0562763178304,37.279842,38.099998,0.0111260007715,0.0111260007715,0.00024475222636
6,crc,2017-03-01,2017-09-22,-0.631021709617,-0.430330194162,-1.04118582087,18.85,10.18,0.0482275350347,0.0482275350347,-0.00276522149067
7,dltr,2017-03-01,2017-09-22,0.190746024689,0.103547248305,0.0534088869128,76.839996,84.620003,0.0134848950848,0.0134848950848,0.000774611895813
8,dspg,2017-03-01,2017-09-22,0.383282035089,0.200956937799,0.4292758793,10.65,12.55,0.0192616086589,0.0192616086589,0.00145383191175
9,fb,2017-03-01,2017-09-22,0.502303437454,0.25822636718,0.678109640562,137.419998,170.539993,0.00975738519864,0.00975738519864,0.00164377438149
10,goog,2017-03-01,2017-09-22,0.237775123047,0.127938198255,0.330507421036,835.23999,928.530029,0.00997422501868,0.00997422501868,0.00088592416728
11,lbrdk,2017-03-01,2017-09-22,0.208179019264,0.11263673231,0.0312268528896,85.529999,95.620003,0.0117620506871,0.0117620506871,0.000809989144668
12,low,2017-03-01,2017-09-22,0.112898122098,0.0622300448287,0.203216619776,80.658112,78.230003,0.0143760696136,0.0143760696136,0.000520873174332
13,lsxma,2017-03-01,2017-09-22,0.15345190007,0.0839053860206,0.124296039056,39.639999,42.630001,0.0142145184336,0.0142145184336,0.000659035907628
14,lyb,2017-03-01,2017-09-22,0.173291866213,0.0943884659797,0.121304306349,91.086052,96.870003,0.0125861892639,0.0125861892639,0.000705256648462
15,mar,2017-03-01,2017-09-22,0.481258160592,0.248247972034,0.577509792711,87.91539,107.879997,0.0120246834561,0.0120246834561,0.00161231055473
16,mgm,2017-03-01,2017-09-22,0.474781630385,0.245164786479,0.365581855396,26.538729,32.380001,0.0149088968094,0.0149088968094,0.00163439605516
17,mpc,2017-03-01,2017-09-22,0.221622716024,0.119607256585,0.354596345638,50.253132,54.73,0.0140079956425,0.0140079956425,0.000882451358007
18,pcln,2017-03-01,2017-09-22,0.146174294304,0.0800403679536,0.20172052614,1733.180054,1862.130005,0.0112308710217,0.0112308710217,0.000598480070604
19,px,2017-03-01,2017-09-22,0.342207270561,0.180698551859,0.660460032182,118.161034,137.600006,0.00894653509752,0.00894653509752,0.0011937703727
20,sbac,2017-03-01,2017-09-22,0.447111575177,0.231925358001,0.755618562049,115.360001,142.619995,0.00928388645023,0.00928388645023,0.00149227613511
21,stz,2017-03-01,2017-09-22,0.544185632971,0.277904916756,0.827162162115,158.718079,201.809998,0.00957345499748,0.00957345499748,0.00174905817794
22,unp,2017-03-01,2017-09-22,0.147483057249,0.0807362173262,0.0221224585874,108.86908,115.339996,0.0105036628579,0.0105036628579,0.000594317379191
23,wlk,2017-03-01,2017-09-22,0.551175969193,0.281166605336,1.10235193839,65.793671,80.790001,0.0154264646975,0.0154264646975,0.00184040845673
