,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_adjprice,end_adjprice,stdev
0,AOS,2017-03-01,2017-09-19,0.297531093449,0.15587763789,0.440346018304,51.080002,58.209999,0.00949907156404
1,BP,2017-03-01,2017-09-19,0.166306122048,0.0893279238991,0.226176325986,34.23,36.950001,0.00929547600179
2,CELG,2017-03-01,2017-09-19,0.295122567894,0.154683853053,0.584342684429,123.699997,142.615005,0.0119615581261
3,EVR,2017-03-01,2017-09-19,-0.0711642577404,-0.0402263341209,-0.0256191327865,81.599998,76.349998,0.0145437415234
4,FB,2017-03-01,2017-09-19,0.524698222269,0.264386962157,1.04414946232,137.419998,171.375,0.00977731244955
5,GOOGL,2017-03-01,2017-09-19,0.196988963745,0.105174382181,0.0492472409364,856.75,933.794983,0.00990581495002
6,HSBC,2017-03-01,2017-09-19,0.427639903385,0.218970253572,0.18816155749,40.84,49.1245,0.00920699398208
7,INTC,2017-03-01,2017-09-19,0.0464118741247,0.0255524578577,0.0881825608369,35.93,37.125,0.00901565089524
8,JNJ,2017-03-01,2017-09-19,0.196935388701,0.105146871002,0.216628927571,123.860001,135.059998,0.00707868449186
9,LMT,2017-03-01,2017-09-19,0.288279577195,0.151286739316,0.233506457528,268.380005,306.910004,0.00690894208912
10,LPX,2017-03-01,2017-09-19,0.294485782931,0.154368066158,0.435838958738,23.940001,27.219999,0.0136413591683
11,LRCX,2017-03-01,2017-09-19,1.04779438434,0.489792513162,1.85459606028,119.669998,176.600006,0.016591813121
12,MASI,2017-03-01,2017-09-19,-0.10127702124,-0.0576582441605,-0.110391953152,92.779999,85.150002,0.01981181211
13,MRK,2017-03-01,2017-09-19,-0.00340950729915,-0.00189767715662,-0.00187522901453,66.209999,65.745003,0.00738090586457
14,MSFT,2017-03-01,2017-09-19,0.348022872321,0.180681478587,0.320181042536,64.940002,75.540001,0.00851817160331
15,RTN,2017-03-01,2017-09-19,0.376762586787,0.194615641698,0.17707841579,154.570007,184.149994,0.00749112454523
16,SPY,2017-03-01,2017-09-19,0.103111695886,0.0560959104491,0.137138555529,239.779999,249.735001,0.00481752608415
17,T,2017-03-01,2017-09-19,-0.152736536241,-0.0880593422336,-0.117607132905,42.040001,38.110001,0.009654443031
18,THO,2017-03-01,2017-09-19,0.0432400447084,0.0238224057029,0.0644276666155,113.550003,113.459999,0.0185243299631
