,AAL,AES,ADM,ALKS,AGN
AAL,0.000346408888342,2.2990264819e-05,1.64384338634e-05,7.1145707905e-05,1.07121888838e-05
AES,2.2990264819e-05,0.000124517710583,1.60394594535e-05,4.7746071128e-06,7.66092645159e-06
ADM,1.64384338634e-05,1.60394594535e-05,0.000145087180736,1.41478438784e-05,8.76153802815e-06
ALKS,7.1145707905e-05,4.7746071128e-06,1.41478438784e-05,0.000286488696859,6.15828050297e-05
AGN,1.07121888838e-05,7.66092645159e-06,8.76153802815e-06,6.15828050297e-05,0.000115207498821
