,GOOGL,WFC,FB,BP,EVR,MSFT,RTN,MASI,AOS,CELG,LRCX,INTC,LPX,WRK,WMT,THO,MRO,T,MRK,XOM,JPM,LMT,HSBC,ALGN,JNJ
GOOGL,9.79990843013e-05,1.41382557421e-05,7.12637776765e-05,3.39160165432e-06,1.6856878829e-05,5.5835219875e-05,2.33414543869e-05,6.34727680762e-05,3.69882953832e-05,4.81091077946e-05,9.17647021512e-05,2.58633260101e-05,2.64772497386e-05,2.73509981347e-05,7.52198964428e-07,2.45963712134e-05,-2.5653743932e-06,3.12058893735e-07,8.18794064904e-06,1.94555965847e-06,2.21385196933e-05,1.93365025545e-05,8.35944874086e-06,0.000102153676881,1.52355275163e-05
WFC,1.41382557421e-05,0.000120658687322,1.75063667314e-05,1.94912949111e-05,0.000101049337561,2.11375198393e-05,1.17024860406e-05,1.90736674609e-05,3.78848274237e-05,3.10858427031e-05,4.81426093634e-05,2.02639374134e-05,5.20537309375e-05,6.11937263271e-05,1.33549843979e-05,5.4831308256e-05,7.25810682636e-05,2.5707117027e-05,8.66300763981e-06,2.89103868082e-05,8.69894686514e-05,1.36880022298e-05,6.02768403787e-05,-9.36519942644e-06,1.27305654585e-05
FB,7.12637776765e-05,1.75063667314e-05,9.60012111414e-05,6.7654323824e-06,3.14955051536e-05,5.37054456635e-05,1.90019588104e-05,7.87527921046e-05,2.97854363446e-05,4.0551955482e-05,9.73196608315e-05,3.99687786734e-05,3.24567132372e-05,3.47506297275e-05,7.9759522262e-06,4.22240254931e-05,-1.06123273098e-06,1.69090077007e-05,1.54788439253e-05,3.60468839086e-06,2.21958014329e-05,1.53173713637e-05,1.29862119649e-05,8.25196026788e-05,1.36522956742e-05
BP,3.39160165432e-06,1.94912949111e-05,6.7654323824e-06,8.64614953998e-05,3.67269635331e-05,8.6415219285e-06,4.90270780313e-06,1.76218476061e-05,1.37553297738e-05,3.21983116204e-07,3.84931044591e-06,2.06606741425e-05,1.33546721547e-05,1.4449819995e-05,3.10853643266e-06,3.19343893144e-05,0.000106709162245,1.77719068089e-05,9.60190436519e-06,3.85890599678e-05,2.37059924287e-05,3.57244165186e-06,2.11061398151e-05,-4.20772491814e-06,8.86483989655e-06
EVR,1.6856878829e-05,0.000101049337561,3.14955051536e-05,3.67269635331e-05,0.000210350105725,2.79543779915e-05,1.71539637662e-05,3.18545047525e-05,2.77411565265e-05,4.14744326633e-05,7.03277995043e-05,2.15845651713e-05,7.72585363162e-05,8.45277781564e-05,1.02431116251e-05,9.67218528911e-05,9.77630483731e-05,3.57399093598e-05,1.41553023488e-05,3.35003474691e-05,9.3992680647e-05,1.89136022532e-05,5.45923681086e-05,3.39571073923e-06,1.59505197025e-05
MSFT,5.5835219875e-05,2.11375198393e-05,5.37054456635e-05,8.6415219285e-06,2.79543779915e-05,7.25753335597e-05,1.93280188441e-05,6.36590387834e-05,3.92093117316e-05,4.10240981516e-05,8.70041449156e-05,3.54281205445e-05,3.01774083969e-05,3.68630038075e-05,1.81579191609e-06,5.6001348337e-05,7.4894113776e-06,5.21876509774e-06,7.56155594229e-06,1.96070396585e-06,2.07712185196e-05,1.84871101473e-05,1.63271961604e-05,5.04796725279e-05,1.55564885147e-05
RTN,2.33414543869e-05,1.17024860406e-05,1.90019588104e-05,4.90270780313e-06,1.71539637662e-05,1.93280188441e-05,5.58649511425e-05,2.57770061083e-05,2.95218608021e-05,1.72325066958e-05,2.59014889045e-05,2.36590367409e-05,9.25370087502e-06,2.17948241368e-05,1.242630717e-05,3.23111894125e-06,3.77505311866e-06,8.39352795408e-06,7.36760479093e-06,2.95933519245e-06,1.52187988042e-05,3.84516345824e-05,4.85837129215e-06,3.67043180565e-05,1.18705030642e-05
MASI,6.34727680762e-05,1.90736674609e-05,7.87527921046e-05,1.76218476061e-05,3.18545047525e-05,6.36590387834e-05,2.57770061083e-05,0.000389591266543,4.18382961245e-05,4.340705328e-05,0.000111274468195,5.13229219462e-05,3.94667691003e-05,5.16352076472e-05,9.05142904603e-06,6.41179347417e-05,-1.3422909907e-05,1.30780556783e-05,1.33520637966e-05,1.35919066793e-05,3.32818744879e-05,2.79608851026e-05,-9.43289983037e-06,1.16986004359e-05,9.11816807944e-06
AOS,3.69882953832e-05,3.78848274237e-05,2.97854363446e-05,1.37553297738e-05,2.77411565265e-05,3.92093117316e-05,2.95218608021e-05,4.18382961245e-05,8.96128566902e-05,3.32143332911e-05,6.03061387816e-05,3.05449521949e-05,3.82615997674e-05,6.15473115485e-05,4.41702511424e-06,3.76023528903e-05,1.75003064366e-05,4.36477563898e-06,7.46243149747e-06,4.33678333611e-06,3.8360174822e-05,2.53349086157e-05,2.60376985054e-05,4.7015461501e-05,1.77210847359e-05
CELG,4.81091077946e-05,3.10858427031e-05,4.0551955482e-05,3.21983116204e-07,4.14744326633e-05,4.10240981516e-05,1.72325066958e-05,4.340705328e-05,3.32143332911e-05,0.000142096051831,7.60419308781e-05,2.49346945973e-05,6.70576527213e-05,3.33721063997e-05,9.42502977707e-06,5.55829006429e-05,9.49664087172e-06,9.78090457913e-06,2.43666380203e-05,4.94814830674e-06,3.73147689987e-05,2.00536013626e-05,2.29404393335e-05,6.84298076128e-05,3.0498857027e-05
LRCX,9.17647021512e-05,4.81426093634e-05,9.73196608315e-05,3.84931044591e-06,7.03277995043e-05,8.70041449156e-05,2.59014889045e-05,0.000111274468195,6.03061387816e-05,7.60419308781e-05,0.00028078679207,5.64274276397e-05,7.783911885e-05,8.17090471734e-05,1.73431093769e-05,9.96164155839e-05,-3.28436308866e-05,1.69297839002e-05,7.03993456203e-06,3.94726565691e-06,3.3318010261e-05,2.77953964273e-05,2.74443892029e-05,8.90026889119e-05,2.49506877962e-05
