,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
USD,0.00045565520966,0.000121759022035,0.000141418710885,6.40138818853e-05,3.94379152368e-05,6.0362682451e-05,6.63632542368e-05,0.000120834878185,6.87454671224e-05,2.73665691683e-05,0.000107756528414,1.88109169972e-05,7.17141208307e-05,2.98755075552e-05,7.24477268252e-05,0.000114265958442,5.07301369654e-05,0.000138764477381,7.12426197206e-05,5.83664108847e-05,3.66239250547e-05,8.92297702131e-05,6.93735179109e-05,2.32664187465e-05,7.22927802997e-05,0.000127428351981,4.92626969227e-05,-6.14709610228e-05
GOOGL,0.000121759022035,9.71692935122e-05,5.67290305221e-05,2.24534159007e-05,2.24707092695e-05,2.20073699418e-05,1.98010814039e-05,5.1406546006e-05,2.57193328553e-05,6.62957781926e-06,5.37180177116e-05,8.97293781589e-06,1.66703381417e-05,-6.24529810404e-06,2.8818515646e-05,2.14217989046e-05,1.37352704732e-05,6.35889700452e-05,2.41823358368e-05,3.24704416993e-05,2.76193585456e-05,3.41440437807e-05,3.10900121351e-05,1.49767614842e-05,2.76880020804e-05,6.08454892615e-05,2.31658324387e-05,-2.45894331194e-05
AAPL,0.000141418710885,5.67290305221e-05,0.000120731742186,2.0088572032e-05,1.70147769001e-05,2.71211356469e-05,3.49288301514e-05,5.09634186848e-05,2.63118912824e-05,3.60672160535e-06,4.82825843405e-05,1.52411187121e-05,3.98353191813e-05,8.48524897737e-06,2.95576078631e-05,3.62713255671e-05,5.26542401055e-06,5.02635765533e-05,3.0249695917e-05,3.58841743574e-05,2.72070177681e-05,4.9292230658e-05,4.30198956762e-05,1.23141627037e-05,2.99378598296e-05,5.87460939479e-05,3.2667328792e-05,-2.86012331422e-05
ACN,6.40138818853e-05,2.24534159007e-05,2.0088572032e-05,7.70325360633e-05,1.48389867985e-05,1.75160149278e-05,2.19588316751e-05,3.16460961523e-05,2.3467322298e-05,6.32298048333e-06,2.47088577086e-05,1.60917143708e-05,1.86528313294e-05,9.70993577877e-06,1.84237984325e-05,1.97802316886e-05,2.87830026111e-05,3.99498092285e-05,1.81593915546e-05,1.38352511673e-05,9.40037589861e-06,1.75471315078e-05,1.06692546237e-05,1.18710675126e-05,1.75619765375e-05,2.05285752081e-05,1.44344925594e-05,-1.70764844994e-05
XLV,3.94379152368e-05,2.24707092695e-05,1.70147769001e-05,1.48389867985e-05,2.95998722944e-05,1.39769751567e-05,1.67021872332e-05,1.91348049753e-05,1.54613724525e-05,1.25378141314e-05,2.19304487047e-05,7.78220780582e-06,1.55609312788e-05,9.67291461117e-06,1.76523049527e-05,1.04645083156e-05,2.56960013866e-05,2.39255413032e-05,1.56146759445e-05,4.12925003097e-05,2.60083758244e-05,1.70572433873e-05,1.62476796284e-05,1.03878488102e-05,1.77829567546e-05,2.35108059892e-05,1.17376496291e-05,-1.56970398802e-05
EWO,6.0362682451e-05,2.20073699418e-05,2.71211356469e-05,1.75160149278e-05,1.39769751567e-05,7.29592730841e-05,1.11146194501e-05,2.33087866404e-05,1.76985217781e-05,2.74536604493e-05,3.22901515329e-05,9.92278350223e-06,1.84546013646e-05,1.20382401498e-05,3.10696645766e-05,1.69050402452e-05,1.29051369586e-05,2.62393739545e-05,3.99687566222e-05,1.86784013072e-05,9.12811559426e-06,3.13482134504e-05,2.58053504006e-05,1.96348356859e-05,5.4685662482e-05,2.7526144992e-05,3.2231883834e-05,-1.8690505926e-05
ICLR,6.63632542368e-05,1.98010814039e-05,3.49288301514e-05,2.19588316751e-05,1.67021872332e-05,1.11146194501e-05,0.000193985244489,1.5335720156e-05,1.74152679654e-05,2.08960842355e-05,3.25042224079e-05,6.27743577529e-07,2.00330694518e-05,2.36469152834e-05,1.28919727209e-05,1.72904701737e-05,1.51646972943e-05,7.06003115933e-05,1.17419645285e-05,4.13398975898e-06,8.29597066195e-06,2.55095403968e-05,2.77415359792e-05,7.8080310983e-06,8.82562108117e-06,2.02096035857e-05,1.23153015278e-05,-1.64648736811e-05
MSFT,0.000120834878185,5.1406546006e-05,5.09634186848e-05,3.16460961523e-05,1.91348049753e-05,2.33087866404e-05,1.5335720156e-05,6.80493342668e-05,2.63085012146e-05,1.17671450646e-05,4.45715965627e-05,1.61727508491e-05,2.70117842416e-05,8.15883810324e-06,2.27581201389e-05,3.06732151683e-05,1.9777584424e-05,5.49237006922e-05,2.54290901867e-05,2.32066801569e-05,1.73199035355e-05,3.31245735607e-05,2.84376777887e-05,5.15253618622e-06,2.85368567601e-05,5.31389209633e-05,1.99123881232e-05,-2.4265595386e-05
PPA,6.87454671224e-05,2.57193328553e-05,2.63118912824e-05,2.3467322298e-05,1.54613724525e-05,1.76985217781e-05,1.74152679654e-05,2.63085012146e-05,3.44868285214e-05,4.52753524442e-06,2.78760089772e-05,7.51938511063e-06,2.50489313439e-05,1.25878399735e-05,3.09621411232e-05,2.39367875564e-05,2.60714513788e-05,3.45310026183e-05,2.64435119332e-05,1.65930781668e-05,2.16202314383e-05,2.3643112022e-05,1.58727208219e-05,7.79823755237e-06,2.07108486801e-05,2.61752494684e-05,9.79614364127e-06,-1.98183764024e-05
SONVY,2.73665691683e-05,6.62957781926e-06,3.60672160535e-06,6.32298048333e-06,1.25378141314e-05,2.74536604493e-05,2.08960842355e-05,1.17671450646e-05,4.52753524442e-06,0.000112489560554,7.83354267488e-06,1.0115776406e-05,9.0279060359e-06,3.89038905695e-06,2.86359570897e-06,6.43352565408e-06,1.36025864927e-05,1.63841297004e-06,7.42035633059e-06,9.2310208455e-06,7.78199454403e-06,1.31345472431e-05,1.01452409084e-05,3.39064797097e-05,3.3195234087e-05,1.91645525112e-05,2.85944233378e-05,-6.73010003001e-06
