curr_date,a,s
2017-08-16,0.0464803079798,0.0
2017-08-17,-0.0205986921485,-0.0253012048193
2017-08-18,0.00640814772839,-0.00247218788628
2017-08-21,0.00800004057322,0.00123915737299
2017-08-22,0.0197602748508,0.0173267326733
2017-08-23,-0.00301778349835,0.00851581508516
2017-08-24,-0.00143383859074,0.015681544029
2017-08-25,0.0035099448651,0.00118764845606
2017-08-28,0.0089029629058,-0.0166073546856
2017-08-29,0.000472796880936,-0.00241254523522
2017-08-30,0.00645770940325,-0.00241837968561
2017-08-31,0.0128324715197,0.0
2017-09-01,-0.00525341590401,0.00242424242424
2017-09-05,-0.00139791933483,-0.0108827085852
2017-09-06,0.00653289091178,-0.00611246943765
2017-09-07,0.00664501807534,-0.019680196802
2017-09-08,-0.00184215119005,-0.0288582183187
2017-09-11,0.0167641052935,-0.0167958656331
2017-09-12,0.000453784308458,0.0381077529566
2017-09-13,-0.0105836443611,-0.00632911392405
2017-09-14,0.00366753463915,-0.0127388535032
2017-09-15,0.00426301274728,-0.00774193548387
2017-09-18,0.00181937151279,-0.00130039011704
2017-09-19,0.00136195578142,0.0677083333333
2017-09-20,-0.00120910529797,-0.0207317073171
2017-09-21,-0.00257219758666,0.0
2017-09-22,-0.00212373858131,0.0610211706102
2017-09-25,-0.0159622353975,-0.0821596244131
2017-09-26,-0.00957829008431,0.00895140664962
2017-09-27,0.00436741034304,-0.00506970849176
2017-09-28,-0.00636738619912,-0.0127388535032
2017-09-29,0.00343856407236,0.00387096774194
