,ZION,ZBH,YUM,XRX,XYL,ZTS
ZION,1.0,0.181010353312,0.0933493895029,0.411749325107,0.260851098558,0.118527818289
ZBH,0.181010353312,1.0,0.0774298034063,0.117197418925,0.175899984122,0.128003097398
YUM,0.0933493895029,0.0774298034063,1.0,0.134646135036,0.220776625766,0.224692464481
XRX,0.411749325107,0.117197418925,0.134646135036,1.0,0.33051560606,0.0701323973662
XYL,0.260851098558,0.175899984122,0.220776625766,0.33051560606,1.0,0.318669070628
ZTS,0.118527818289,0.128003097398,0.224692464481,0.0701323973662,0.318669070628,1.0
