,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_adjprice,end_adjprice
0,AOS,2015-03-03,2017-09-15,0.284625164856,0.890427947162,0.0626175362682,30.199955,58.220001
1,BP,2015-03-03,2017-09-15,0.020694413374,0.0534576751227,0.0401471619456,35.093693,36.580002
2,CELG,2015-03-03,2017-09-15,0.0674851153538,0.180616701531,0.0688348176609,118.470001,142.039993
3,EVR,2015-03-03,2017-09-15,0.176036897573,0.510228681591,0.0158433207815,48.8526,73.75
4,FB,2015-03-03,2017-09-15,0.351858349348,1.15222569279,0.436304353192,79.599998,171.639999
5,GOOGL,2015-03-03,2017-09-15,0.210859994489,0.626534634394,0.360570590576,578.789978,935.289978
6,HSBC,2015-03-03,2017-09-15,0.111030949034,0.306944365908,0.0832732117754,36.822964,48.189999
7,INTC,2015-03-03,2017-09-15,0.0648505165716,0.173222533774,0.117379434995,31.574102,37.0
8,JNJ,2015-03-03,2017-09-15,0.14037798716,0.396511693405,0.261103056118,95.454788,134.449997
9,LMT,2015-03-03,2017-09-15,0.202057113335,0.596638821101,0.0788022742005,186.453476,302.299988
10,LPX,2015-03-03,2017-09-15,0.198502091052,0.584660732468,0.30370819931,16.610001,26.860001
11,LRCX,2015-03-03,2017-09-15,0.345866329353,1.1280544651,0.245565093841,78.701782,172.990005
12,MASI,2015-03-03,2017-09-15,0.497413629617,1.79125903457,0.795861807388,30.18,85.580002
13,MRK,2015-03-03,2017-09-15,0.0852549568929,0.231227370778,0.129587534477,53.514858,66.160004
14,MSFT,2015-03-03,2017-09-15,0.268190369939,0.829543486496,0.238689429246,40.600418,75.309998
15,RTN,2015-03-03,2017-09-15,0.245870154769,0.748783704165,0.0172109108339,102.2229,182.5
16,SPY,2015-03-03,2017-09-15,0.0893150945519,0.242972401249,0.150942509793,199.656357,249.190002
17,T,2015-03-03,2017-09-15,0.0802344018896,0.216797513404,0.112328162645,30.287422,37.099998
18,THO,2015-03-03,2017-09-15,0.293796552817,0.924931302461,0.229161311198,59.791653,113.139999
