Date,XRX,XYL,YUM,ZBH,ZION,ZTS
2017-06-21,27.879999,53.540001,74.400002,128.520004,42.330002,63.0
2017-06-22,27.969999,53.849998,74.540001,129.389999,42.299999,63.509998
2017-06-23,28.440001,54.330002,74.82,129.089996,41.93,62.779999
2017-06-26,29.190001,54.68,74.739998,129.059998,42.34,62.720001
2017-06-27,28.98,54.5,73.970001,128.25,42.540001,62.759998
2017-06-28,29.290001,54.970001,74.150002,128.509995,42.970001,62.950001
2017-06-29,29.120001,54.900002,73.449997,127.889999,43.990002,62.5
2017-06-30,28.73,55.43,73.760002,128.399994,43.91,62.380001
2017-07-03,28.85,55.450001,73.349998,128.380005,44.73,62.669998
2017-07-05,28.450001,54.939999,73.080002,127.769997,44.740002,62.549999
2017-07-06,28.35,54.380001,72.650002,125.629997,44.119999,61.790001
2017-07-07,28.780001,54.950001,73.489998,127.110001,44.439999,62.59
2017-07-10,28.879999,54.610001,73.540001,127.400002,44.66,62.470001
2017-07-11,28.9,54.34,73.970001,126.489998,45.200001,62.209999
2017-07-12,29.040001,55.32,74.099998,126.360001,44.790001,62.560001
2017-07-13,29.24,55.84,73.419998,128.979996,45.0,63.049999
2017-07-14,29.42,56.099998,73.599998,132.490005,44.720001,63.349998
2017-07-17,29.35,56.720001,73.57,132.610001,44.34,63.07
2017-07-18,29.299999,56.419998,73.760002,131.179993,44.080002,62.459999
2017-07-19,29.379999,57.07,74.150002,131.070007,43.98,62.419998
2017-07-20,29.41,56.93,74.620003,129.470001,43.84,62.75
2017-07-21,29.450001,57.619999,74.739998,129.610001,43.540001,63.16
2017-07-24,30.559999,57.720001,74.589996,128.789993,44.32,63.290001
2017-07-25,31.030001,57.209999,74.800003,128.770004,44.650002,61.279999
2017-07-26,30.49,56.889999,74.589996,128.699997,45.669998,62.060001
2017-07-27,30.58,56.869999,75.610001,125.440002,45.139999,62.009998
2017-07-28,30.43,56.93,75.0,123.779999,45.259998,62.209999
2017-07-31,30.67,56.73,75.480003,121.32,45.32,62.52
2017-08-01,32.459999,59.299999,75.529999,120.32,45.380001,62.27
2017-08-02,32.549999,59.919998,76.620003,117.690002,45.720001,61.540001
2017-08-03,32.099998,59.560001,74.860001,117.160004,45.490002,62.279999
2017-08-04,32.220001,60.02,75.029999,117.93,46.119999,62.119999
2017-08-07,32.509998,60.040001,74.989998,117.190002,45.759998,61.830002
2017-08-08,32.310001,59.84,74.199997,115.040001,45.810001,60.0
2017-08-09,32.299999,59.709999,75.07,112.860001,45.290001,60.810001
2017-08-10,31.440001,58.98,75.360001,110.129997,44.439999,59.740002
2017-08-11,31.66,59.119999,75.559998,111.699997,44.110001,59.73
2017-08-14,32.130001,59.880001,76.279999,112.510002,44.990002,60.740002
2017-08-15,32.279999,59.860001,76.389999,112.970001,45.130001,61.029999
2017-08-16,32.41,59.93,76.419998,113.080002,45.119999,61.5
2017-08-17,31.85,58.950001,75.540001,112.419998,43.849998,60.900002
2017-08-18,31.450001,59.029999,75.410004,111.379997,43.919998,60.75
2017-08-21,31.23,59.310001,75.849998,112.769997,43.540001,61.349998
2017-08-22,31.5,59.959999,76.550003,113.959999,43.990002,61.599998
2017-08-23,31.84,59.990002,76.410004,112.279999,43.93,61.360001
2017-08-24,32.049999,60.099998,76.260002,112.849998,44.380001,61.389999
2017-08-25,32.259998,60.48,75.830002,113.190002,44.700001,61.330002
2017-08-28,32.310001,61.16,76.209999,112.889999,44.279999,61.540001
2017-08-29,32.240002,61.110001,76.089996,112.82,43.709999,61.5
2017-08-30,32.299999,61.549999,76.019997,113.010002,43.82,61.939999
2017-08-31,32.27,62.07,76.82,114.269997,43.66,62.700001
2017-09-01,32.560001,61.970001,76.629997,114.330002,44.32,62.869999
2017-09-05,32.119999,61.900002,76.32,114.239998,42.759998,63.169998
2017-09-06,32.150002,62.02,76.209999,115.629997,42.610001,63.389999
2017-09-07,31.879999,62.48,76.470001,115.669998,41.330002,64.849998
2017-09-08,31.559999,62.779999,76.480003,115.699997,41.639999,64.699997
2017-09-11,32.060001,62.970001,77.800003,115.800003,42.73,65.279999
2017-09-12,32.799999,62.93,77.169998,116.43,43.330002,65.400002
