,a,portfolioreturn,portfoliostandarddeviation,s,returnoverrisk
0,0.0475,0.00807429813752,0.00115192765554,0.0355,7.00937953759
1,0.0235,0.00306673592186,0.000763666739252,0.0255,4.01580396819
2,0.012,0.00174384921225,0.000352341678051,0.0115,4.94931289963
3,0.0195,-0.000651701897282,0.00133187078179,0.0485,-0.489313157247
4,0.0325,0.0033370235121,0.00125000663857,0.043,2.66960463178
5,0.028,0.00451714645932,0.000728741502484,0.023,6.19855798513
6,0.046,0.00628530393264,0.00143491877747,0.0475,4.38025066736
7,0.0165,-0.000780768627134,0.00117770881918,0.043,-0.662955574771
8,0.034,0.00758118230268,0.000486950921339,0.01,15.5686784241
9,0.048,0.00995666813165,0.000815126496157,0.0205,12.2148748429
10,0.031,0.00558151398372,0.000688861328999,0.0205,8.10252187016
11,0.038,0.00697385394702,0.000818173514875,0.024,8.52368577109
12,0.0415,0.00617938828735,0.00118734278784,0.0385,5.20438440411
13,0.01,-0.00268744688233,0.00120591158148,0.045,-2.22856047128
14,0.049,0.00793423445364,0.00126926849584,0.04,6.25102921852
15,0.013,0.00200121122096,0.000358257697491,0.0115,5.58595456559
16,0.0355,0.00352454654161,0.00139142304053,0.048,2.53305173118
17,0.0385,0.00692716605239,0.000856462360126,0.0255,8.08811498893
18,0.0475,0.00678825954501,0.00141877220024,0.0465,4.78460146307
19,0.033,0.00428409271168,0.00107714586318,0.036,3.97726330121
20,0.0495,0.0105180800437,0.000796091705369,0.019,13.212146255
21,0.049,0.00881107894853,0.00109110408302,0.0325,8.07537895391
22,0.0185,0.00166301327903,0.000762722821954,0.0265,2.18036386373
23,0.0345,0.00578080541826,0.000853738494273,0.0265,6.77116641342
24,0.0305,0.00586202707699,0.000604948637763,0.017,9.69012360894
25,0.029,0.00267008168028,0.00118191876749,0.041,2.2591076085
26,0.037,0.00765179273287,0.000632512306393,0.016,12.0974606431
27,0.018,0.000306749981833,0.00102896985188,0.037,0.298113672887
28,0.0385,0.00780401054728,0.000687095126689,0.018,11.3579768567
29,0.0315,0.00471643789386,0.000895780846993,0.029,5.26516938791
30,0.0445,0.00665919281516,0.00126624486228,0.041,5.25900875378
31,0.0125,0.000761860523076,0.000594143655872,0.021,1.2822833595
32,0.024,0.000506427141877,0.00135052005441,0.0485,0.374986761748
33,0.038,0.00416795156336,0.00140416905917,0.048,2.96826905289
34,0.0445,0.00993274559609,0.000635685844173,0.013,15.6252426999
35,0.0345,0.00759295070771,0.000510290626451,0.011,14.8796593826
36,0.019,-2.04510060598e-05,0.00116198586061,0.042,-0.0176000472579
37,0.0265,0.00401419084695,0.000743894277158,0.024,5.39618460607
38,0.028,0.00404949606204,0.000826227159463,0.027,4.90118972205
39,0.032,0.00396827440332,0.00108415884016,0.0365,3.66023340522
40,0.0305,0.00369914398959,0.00105110582615,0.0355,3.51928787527
41,0.029,0.0027869942796,0.00115659945255,0.04,2.4096451658
42,0.029,0.00512524626598,0.0006636837491,0.02,7.72242242322
43,0.0335,0.00394512331876,0.00117973382491,0.04,3.3440791774
44,0.041,0.00774593997312,0.000839238364365,0.024,9.22972578712
45,0.021,-0.000382571483548,0.00136375615812,0.0495,-0.280527777103
46,0.023,0.000132152533856,0.00137201956578,0.0495,0.0963197152225
47,0.047,0.00934856832499,0.00087209573875,0.0235,10.7196583008
48,0.0405,0.00580511367933,0.00120606160439,0.0395,4.81328122726
49,0.0165,-0.00142378792339,0.00132020165982,0.0485,-1.07846245519
50,0.02,-0.000406108293612,0.00130803964143,0.0475,-0.310470937385
51,0.0365,0.00442492784656,0.00125829076022,0.0425,3.51661792844
52,0.048,0.00755995984561,0.0012872812001,0.041,5.87281150772
53,0.026,0.00154725785622,0.00124399659786,0.044,1.24377981329
54,0.013,0.001650473423,0.000432253460282,0.0145,3.81830008237
55,0.017,0.00151079546462,0.00070465015019,0.0245,2.14403624864
56,0.039,0.00641282776049,0.000990099434029,0.031,6.47695326356
57,0.012,0.000282441720768,0.000668830755878,0.024,0.422291765571
58,0.043,0.00814375139121,0.000876287279712,0.025,9.29347210641
59,0.0105,-0.00214957178037,0.00111650094516,0.0415,-1.92527537901
60,0.0165,0.00307734715039,0.000345554371662,0.01,8.90553673389
61,0.028,0.00480942795761,0.000668897859124,0.0205,7.19007826384
62,0.0415,0.00758233947918,0.00090023684999,0.0265,8.42260509471
63,0.027,0.00513662894551,0.000545732623999,0.0155,9.41235454804
64,0.0375,0.00474074615493,0.00125119965515,0.042,3.78896056709
65,0.0435,0.00757095679965,0.00101909356533,0.031,7.4291086287
66,0.014,-0.00165799884753,0.00122003793842,0.045,-1.35897318871
67,0.02,0.00239979409004,0.000694786907328,0.0235,3.45400016139
68,0.0245,0.00443476762409,0.000539723384283,0.016,8.21674167405
69,0.0455,0.00919635051058,0.000816945755809,0.0215,11.2569903757
70,0.049,0.0112077872346,0.000658186070904,0.012,17.0282959941
71,0.013,-0.000863147462358,0.00098281908034,0.036,-0.878236370888
72,0.026,0.000962694859621,0.00137206661197,0.049,0.701638572956
73,0.0165,0.00307734715039,0.000345554371662,0.01,8.90553673389
74,0.0375,0.00813121153518,0.000575035059446,0.013,14.1403752721
75,0.0425,0.0079566140872,0.000884156918599,0.0255,8.99909724148
76,0.0295,0.00455245167441,0.000810628372851,0.026,5.61595402638
77,0.0405,0.00568820108001,0.00123070940889,0.0405,4.62188802567
78,0.046,0.00651912913128,0.00138551019932,0.0455,4.70521915645
79,0.0425,0.00637829399639,0.00120548718115,0.039,5.29105086817
80,0.0485,0.0085070290452,0.00112293918171,0.034,7.57568101975
81,0.013,0.000890541527427,0.00059646390258,0.021,1.49303507484
82,0.026,0.00224873345213,0.00109113343316,0.038,2.06091517664
83,0.015,0.00239902263904,0.000394709620396,0.0125,6.07794316397
84,0.049,0.00863571004955,0.00112626201471,0.034,7.66758528365
85,0.0425,0.00807352668652,0.000861337193332,0.0245,9.37324749125
86,0.0275,0.00251786386586,0.00112384323632,0.039,2.24040487543
87,0.0115,-0.00235986016894,0.00122407352213,0.0455,-1.92787453228
88,0.01,-0.00268744688233,0.00120591158148,0.045,-2.22856047128
89,0.027,0.00273992065947,0.001045457452,0.036,2.62078638804
90,0.0325,0.00409695540767,0.00108686666706,0.0365,3.76951058657
91,0.0135,-0.00143594205392,0.0011403070917,0.042,-1.25925907536
92,0.048,0.00791069764357,0.00121488966506,0.038,6.51145356742
93,0.0435,0.00897390799147,0.000747642987278,0.019,12.0029320734
