Date,iwm,mdy,spy
2017-08-28,137.460007,310.048828,243.362259
2017-08-29,137.490005,309.760162,243.640884
2017-08-30,138.369995,311.641602,244.795135
2017-08-31,139.729996,314.150146,246.267838
2017-09-01,140.520004,315.364624,246.616104
2017-09-05,139.169998,311.91037,244.844894
2017-09-06,139.460007,312.278717,245.68074
2017-09-07,139.110001,311.243408,245.650894
2017-09-08,139.220001,312.019867,245.362335
2017-09-11,140.679993,315.732971,247.97934
2017-09-12,141.539993,317.932953,248.815201
2017-09-13,141.960007,317.574585,248.934601
2017-09-14,141.830002,317.484985,248.854996
2017-09-15,142.410004,318.609985,249.190002
2017-09-18,143.380005,320.119995,249.720001
2017-09-19,143.380005,320.089996,249.970001
2017-09-20,143.839996,321.029999,250.059998
2017-09-21,143.964996,320.649994,249.654999
