,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
USD,0.000499790138981,0.000135975279302,0.000154337969746,7.29509180189e-05,4.59429950566e-05,6.54313742326e-05,7.33225757084e-05,0.000134320089404,7.61394906055e-05,3.0847701534e-05,0.000117659894051,2.52059438612e-05,7.95612362361e-05,4.00190437895e-05,7.84711260789e-05,0.000122420784924,5.69704385786e-05,0.00015466491041,7.79702960261e-05,6.76638789926e-05,4.44806651845e-05,9.74469919701e-05,7.61079537543e-05,2.82832283388e-05,8.04420582286e-05,0.000141731279648,5.35896251637e-05,-6.79992051786e-05
GOOGL,0.000135975279302,9.89666523778e-05,5.87178484797e-05,2.60708887486e-05,2.56158145346e-05,2.349417721e-05,2.05170255055e-05,5.56811424786e-05,2.83047645944e-05,1.11216928166e-05,5.77496895105e-05,9.17963645395e-06,2.01609994707e-05,2.1318798092e-06,2.99239289862e-05,2.5792667451e-05,1.71375277469e-05,6.11274287195e-05,2.56030179991e-05,3.63610284614e-05,3.09188822598e-05,3.34779521124e-05,3.15238416132e-05,1.69005000385e-05,2.95492380208e-05,6.43393064954e-05,2.01783566411e-05,-2.61895814822e-05
AAPL,0.000154337969746,5.87178484797e-05,0.000126214072646,2.42361830291e-05,2.09872598215e-05,2.94983135299e-05,3.70641320737e-05,5.62885524529e-05,2.96335770556e-05,5.19522703004e-06,5.1895182824e-05,1.88982802666e-05,4.50624355715e-05,1.55366991853e-05,3.07204625685e-05,3.93437870848e-05,6.54369325598e-06,5.5998342154e-05,3.2863022644e-05,3.94371206628e-05,3.35678485887e-05,4.98025565947e-05,4.66027478943e-05,1.19200812396e-05,3.28705341511e-05,6.38676354129e-05,2.6493053035e-05,-3.11907377318e-05
ACN,7.29509180189e-05,2.60708887486e-05,2.42361830291e-05,8.10107337972e-05,1.63427125597e-05,2.16096700258e-05,2.59515072281e-05,3.23735060117e-05,2.47821485712e-05,9.49834960049e-06,2.72052230875e-05,1.51185321453e-05,1.96085915811e-05,1.33042227372e-05,2.17784935094e-05,2.30015857464e-05,3.04702149464e-05,4.07389018302e-05,2.09619533965e-05,1.72807741639e-05,1.34078376861e-05,2.14632310248e-05,1.13444631208e-05,1.49616024826e-05,2.09900433511e-05,2.34179007718e-05,1.84226139285e-05,-1.88826363389e-05
XLV,4.59429950566e-05,2.56158145346e-05,2.09872598215e-05,1.63427125597e-05,2.98287426239e-05,1.63702548951e-05,1.97854138014e-05,2.13962409955e-05,1.67497148887e-05,1.20163287426e-05,2.38729264992e-05,8.18420915795e-06,1.71554975007e-05,7.18356276235e-06,2.04338910453e-05,1.1178726812e-05,2.69931877214e-05,2.65501361039e-05,1.75165318872e-05,4.31918667379e-05,2.52060459223e-05,1.97624018091e-05,1.80878903825e-05,1.03198132997e-05,2.03377263344e-05,2.64520582638e-05,1.5701708605e-05,-1.70222464239e-05
EWO,6.54313742326e-05,2.349417721e-05,2.94983135299e-05,2.16096700258e-05,1.63702548951e-05,7.80192556092e-05,1.10669646251e-05,2.70161425659e-05,2.0466087155e-05,3.0516432033e-05,3.63194220939e-05,1.33534385548e-05,2.04222148967e-05,1.32464920665e-05,3.34811794803e-05,1.85201782606e-05,1.67218689725e-05,2.97201917905e-05,4.30720034174e-05,2.03828438558e-05,1.23642545557e-05,3.25223931925e-05,2.77525694629e-05,2.1376250754e-05,5.91901286094e-05,2.80614084119e-05,3.15395525209e-05,-2.06534419141e-05
ICLR,7.33225757084e-05,2.05170255055e-05,3.70641320737e-05,2.59515072281e-05,1.97854138014e-05,1.10669646251e-05,0.000206939101731,1.78326245802e-05,1.9782165002e-05,2.49790089381e-05,3.62713738023e-05,8.48165593083e-07,2.28450506473e-05,2.23375161117e-05,1.14497060697e-05,2.17976705932e-05,1.97040870095e-05,8.00420552051e-05,1.28405116736e-05,7.02151491039e-06,8.23308672918e-06,2.77027957475e-05,2.97753915543e-05,8.78649954439e-06,8.57327862485e-06,2.35360894908e-05,9.87263060152e-06,-1.80261719003e-05
MSFT,0.000134320089404,5.56811424786e-05,5.62885524529e-05,3.23735060117e-05,2.13962409955e-05,2.70161425659e-05,1.78326245802e-05,7.23541756036e-05,2.79153265838e-05,1.6659415385e-05,4.78387843813e-05,1.64027852961e-05,2.90880901656e-05,1.37788134394e-05,2.45806441389e-05,3.349742918e-05,2.29023975474e-05,5.42178281319e-05,2.80551199336e-05,2.80304327003e-05,2.08755481972e-05,3.58526000517e-05,3.03779372677e-05,9.01944268154e-06,3.29174985218e-05,5.8219243286e-05,2.38376980522e-05,-2.62186353477e-05
PPA,7.61394906055e-05,2.83047645944e-05,2.96335770556e-05,2.47821485712e-05,1.67497148887e-05,2.0466087155e-05,1.9782165002e-05,2.79153265838e-05,3.65889365337e-05,5.46930384767e-06,2.92737190258e-05,7.80003117599e-06,2.74104090762e-05,1.50326899531e-05,3.28247388403e-05,2.4688617898e-05,2.7993626162e-05,3.33331617797e-05,2.8858246859e-05,1.95080339676e-05,2.34531601072e-05,2.46237827326e-05,1.7063898993e-05,1.02683529553e-05,2.37970115859e-05,2.73959898776e-05,1.20534203117e-05,-2.13164771862e-05
SONVY,3.0847701534e-05,1.11216928166e-05,5.19522703004e-06,9.49834960049e-06,1.20163287426e-05,3.0516432033e-05,2.49790089381e-05,1.6659415385e-05,5.46930384767e-06,0.000109316213925,8.02504142535e-06,1.0147204387e-05,8.64031148173e-06,-7.03967607668e-06,3.94126473383e-06,4.07348888954e-06,1.07195259777e-05,1.15102534571e-05,9.88870407367e-06,6.35796461796e-06,6.76468123552e-06,1.03366605858e-05,1.17772099552e-05,3.1012598654e-05,3.69052996103e-05,2.24887861741e-05,2.4412242014e-05,-8.30848890533e-06
