Date,AAL,AAPL,AMZN,BAC,MSFT,PCLN,PEP
2016-10-03,37.365196,110.569603,836.73999,15.395331,56.069183,1486.719971,105.257446
2016-10-04,37.295818,111.04129,834.030029,15.562778,55.893414,1489.02002,104.139236
2016-10-05,37.53368,111.090431,844.359985,15.868126,56.284008,1497.579956,103.079376
2016-10-06,37.831017,111.915863,841.659973,15.976472,56.38166,1490.439941,103.458588
2016-10-07,37.394928,112.082916,839.429993,15.887825,56.440243,1479.819946,103.059921
2016-10-10,38.544624,114.038429,841.710022,16.055271,56.674595,1475.180054,103.283569
2016-10-11,37.860756,114.284088,831.0,15.868126,55.844593,1459.02002,102.651527
2016-10-12,37.048035,115.306061,834.090027,15.789327,55.766476,1454.839966,103.147438
2016-10-13,38.891518,114.952301,829.280029,15.592329,55.58094,1442.52002,102.991859
2016-10-14,38.306759,115.591034,822.960022,15.759776,56.069183,1439.569946,103.876709
2016-10-17,38.237381,115.512428,812.950012,15.809026,55.87389,1437.650024,103.896149
2016-10-18,39.000534,115.433815,817.650024,16.015875,56.303535,1454.969971,103.993385
2016-10-19,40.269173,115.089874,817.690002,16.222719,56.176594,1469.199951,103.322464
2016-10-20,40.22953,115.030914,810.320007,16.311367,55.903187,1468.290039,102.943253
2016-10-21,39.545654,114.57888,818.98999,16.419718,58.256485,1467.390015,102.700157
2016-10-24,39.47628,115.61068,838.090027,16.518215,59.564964,1471.800049,104.343437
2016-10-25,39.337521,116.200294,835.179993,16.468966,59.555199,1479.030029,104.265656
2016-10-26,38.970806,113.586395,822.590027,16.616714,59.203667,1469.160034,104.110077
2016-10-27,39.555565,112.495644,818.359985,16.656115,58.686134,1463.02002,103.682228
2016-10-28,39.704235,111.748817,776.320007,16.429569,58.461548,1474.819946,104.110077
2016-10-31,40.239437,111.57193,789.820007,16.252272,58.510365,1474.22998,104.236465
2016-11-01,39.446541,109.557465,785.409973,16.360619,58.393192,1467.0,103.760017
