,agg,spy,shy
agg,3.11946872104e-06,-2.33945344487e-06,8.22867824604e-07
spy,-2.33945344487e-06,2.29415766343e-05,-6.72320432164e-07
shy,8.22867824604e-07,-6.72320432164e-07,3.24186830655e-07
