Date,AAL,AAPL,AMZN,BAC,CSCO,KO,MSFT,PCLN,PEP
2016-09-19,35.439999,113.580002,775.099976,15.59,31.02,42.099998,56.93,1448.060059,105.669998
2016-09-20,35.150002,113.57,780.219971,15.6,31.1,42.34,56.810001,1449.0,106.300003
2016-09-21,34.669998,113.550003,789.73999,15.65,31.360001,42.529999,57.759998,1464.0,107.129997
2016-09-22,35.25,114.620003,804.700012,15.6,31.66,42.959999,57.82,1465.869995,107.82
2016-09-23,35.549999,112.709999,805.75,15.52,31.34,42.740002,57.43,1456.76001,107.339996
2016-09-26,34.93,112.879997,799.159973,15.09,31.07,42.049999,56.900002,1447.150024,107.029999
2016-09-27,36.0,113.089996,816.109985,15.29,31.48,42.59,57.950001,1453.48999,107.489998
2016-09-28,35.84,113.949997,828.719971,15.38,31.5,42.150002,58.029999,1458.030029,107.379997
2016-09-29,35.82,112.18,829.049988,15.16,31.389999,42.029999,57.400002,1472.97998,107.760002
2016-09-30,36.610001,113.050003,837.309998,15.65,31.719999,42.32,57.599998,1471.48999,108.769997
2016-10-03,37.700001,112.519997,836.73999,15.63,31.5,42.029999,57.419998,1486.719971,108.25
2016-10-04,37.630001,113.0,834.030029,15.8,31.35,41.84,57.240002,1489.02002,107.099998
2016-10-05,37.869999,113.050003,844.359985,16.110001,31.59,41.810001,57.639999,1497.579956,106.010002
2016-10-06,38.169998,113.889999,841.659973,16.219999,31.48,41.709999,57.740002,1490.439941,106.400002
2016-10-07,37.73,114.059998,839.429993,16.129999,31.469999,41.73,57.799999,1479.819946,105.989998
2016-10-10,38.889999,116.050003,841.710022,16.299999,31.469999,41.73,58.040001,1475.180054,106.220001
2016-10-11,38.200001,116.300003,831.0,16.110001,31.040001,41.540001,57.189999,1459.02002,105.57
2016-10-12,37.380001,117.339996,834.090027,16.030001,30.34,41.779999,57.110001,1454.839966,106.080002
2016-10-13,39.240002,116.980003,829.280029,15.83,30.17,41.759998,56.919998,1442.52002,105.919998
2016-10-14,38.650002,117.629997,822.960022,16.0,30.18,41.669998,57.419998,1439.569946,106.830002
2016-10-17,38.580002,117.550003,812.950012,16.049999,30.219999,41.599998,57.220001,1437.650024,106.849998
2016-10-18,39.349998,117.470001,817.650024,16.26,30.440001,41.970001,57.66,1454.969971,106.949997
2016-10-19,40.630001,117.120003,817.690002,16.469999,30.35,42.049999,57.529999,1469.199951,106.260002
2016-10-20,40.59,117.059998,810.320007,16.559999,30.16,41.93,57.25,1468.290039,105.870003
2016-10-21,39.900002,116.599998,818.98999,16.67,30.15,42.130001,59.66,1467.390015,105.620003
2016-10-24,39.830002,117.650002,838.090027,16.77,30.459999,42.560001,61.0,1471.800049,107.309998
2016-10-25,39.689999,118.25,835.179993,16.719999,30.34,42.540001,60.990002,1479.030029,107.230003
2016-10-26,39.32,115.589996,822.590027,16.870001,30.549999,42.439999,60.630001,1469.160034,107.07
2016-10-27,39.91,114.480003,818.359985,16.91,30.379999,42.119999,60.099998,1463.02002,106.629997
2016-10-28,40.060001,113.720001,776.320007,16.68,30.59,42.23,59.869999,1474.819946,107.07
2016-10-31,40.599998,113.540001,789.820007,16.5,30.68,42.400002,59.919998,1474.22998,107.199997
2016-11-01,39.799999,111.489998,785.409973,16.610001,30.48,42.119999,59.799999,1467.0,106.709999
2016-11-02,39.709999,111.589996,765.559998,16.48,30.389999,42.049999,59.43,1445.329956,106.709999
2016-11-03,39.380001,109.830002,767.030029,16.48,30.32,42.029999,59.209999,1438.099976,106.629997
2016-11-04,39.740002,108.839996,755.049988,16.549999,30.190001,41.689999,58.709999,1424.280029,105.809998
2016-11-07,41.490002,110.410004,784.929993,17.01,30.940001,42.459999,60.419998,1480.329956,106.959999
2016-11-08,41.700001,111.059998,787.75,17.0,31.0,42.880001,60.470001,1578.130005,108.720001
2016-11-09,42.41,110.879997,771.880005,17.969999,31.360001,42.27,60.169998,1570.26001,107.25
2016-11-10,42.299999,107.790001,742.380005,18.76,31.0,40.939999,58.700001,1554.319946,103.25
2016-11-11,42.93,108.43,739.01001,19.02,31.360001,41.029999,59.02,1540.650024,103.190002
2016-11-14,43.400002,105.709999,719.070007,20.08,31.370001,41.169998,58.119999,1489.180054,101.389999
2016-11-15,44.759998,107.110001,743.23999,20.16,31.700001,41.439999,58.869999,1497.449951,101.849998
2016-11-16,44.450001,109.989998,746.48999,19.75,31.57,41.259998,59.650002,1503.22998,101.709999
2016-11-17,45.830002,109.949997,756.400024,20.08,30.049999,41.119999,60.639999,1512.900024,101.620003
2016-11-18,46.259998,110.059998,760.159973,20.0,30.18,40.91,60.349998,1507.349976,101.309998
2016-11-21,46.080002,111.730003,780.0,20.33,30.049999,41.360001,60.860001,1524.180054,102.260002
2016-11-22,46.080002,111.800003,785.330017,20.299999,29.889999,41.369999,61.119999,1535.420044,102.889999
2016-11-23,46.34,111.230003,780.119995,20.559999,29.709999,41.119999,60.400002,1520.98999,101.529999
2016-11-25,46.82,111.790001,780.369995,20.860001,30.09,41.529999,60.529999,1521.680054,102.169998
2016-11-28,46.5,111.57,766.77002,20.299999,29.92,41.75,60.610001,1525.069946,102.790001
2016-11-29,46.889999,111.459999,762.52002,20.290001,29.83,41.150002,61.09,1520.27002,102.540001
2016-11-30,46.439999,110.519997,750.570007,21.120001,29.82,40.349998,60.259998,1503.680054,100.099998
2016-12-01,45.75,109.489998,743.650024,21.5,29.450001,40.169998,59.200001,1479.660034,99.029999
2016-12-02,46.099998,109.900002,740.340027,21.23,29.25,40.360001,59.25,1473.0,100.599998
2016-12-05,45.720001,109.110001,759.359985,21.84,29.530001,40.619999,60.220001,1499.76001,100.709999
2016-12-06,46.43,109.949997,764.719971,22.16,29.33,40.57,59.950001,1504.819946,101.550003
2016-12-07,48.650002,111.029999,770.419983,22.57,29.950001,41.290001,61.369999,1527.040039,102.809998
2016-12-08,48.049999,112.120003,767.330017,22.950001,29.950001,40.98,61.009998,1548.670044,102.150002
2016-12-09,49.639999,113.949997,768.659973,23.09,30.059999,42.0,61.970001,1557.97998,103.57
2016-12-12,47.59,113.300003,760.119995,22.610001,30.17,41.900002,62.169998,1536.780029,104.720001
2016-12-13,47.84,115.190002,774.340027,22.610001,30.59,41.759998,62.98,1540.109985,105.629997
2016-12-14,47.919998,115.190002,768.820007,22.67,30.459999,41.209999,62.68,1528.449951,104.470001
2016-12-15,48.299999,115.82,761.0,23.16,30.629999,41.549999,62.580002,1501.199951,105.300003
2016-12-16,47.630001,115.970001,757.77002,22.66,30.59,41.740002,62.299999,1484.280029,105.870003
2016-12-19,48.580002,116.639999,766.0,22.48,30.75,41.669998,63.619999,1488.829956,105.410004
2016-12-20,49.220001,116.949997,771.219971,22.709999,30.559999,41.66,63.540001,1502.25,104.900002
2016-12-21,49.470001,117.059998,770.599976,22.629999,30.42,41.57,63.540001,1505.76001,104.699997
2016-12-22,48.689999,116.290001,766.340027,22.540001,30.459999,41.549999,63.549999,1481.339966,105.349998
2016-12-23,48.48,116.519997,760.590027,22.6,30.530001,41.599998,63.240002,1486.199951,105.089996
2016-12-27,48.610001,117.260002,771.400024,22.610001,30.68,41.610001,63.279999,1493.420044,105.129997
2016-12-28,47.669998,116.760002,772.130005,22.33,30.42,41.389999,62.990002,1480.459961,104.620003
2016-12-29,47.25,116.730003,765.150024,22.0,30.459999,41.599998,62.900002,1480.160034,104.989998
2016-12-30,46.689999,115.82,749.869995,22.1,30.219999,41.459999,62.139999,1466.060059,104.629997
2017-01-03,46.299999,116.150002,753.669983,22.530001,30.540001,41.799999,62.580002,1477.569946,104.650002
2017-01-04,46.700001,116.019997,757.179993,22.950001,30.1,41.650002,62.299999,1487.290039,104.849998
2017-01-05,45.889999,116.610001,780.450012,22.68,30.17,41.75,62.299999,1503.699951,104.709999
2017-01-06,46.209999,117.910004,795.98999,22.68,30.23,41.740002,62.84,1520.569946,104.559998
2017-01-09,47.080002,118.989998,796.919983,22.549999,30.18,41.32,62.639999,1529.640015,103.459999
2017-01-10,48.48,119.110001,795.900024,22.940001,30.379999,41.040001,62.619999,1535.25,101.970001
2017-01-11,48.639999,119.75,799.02002,23.07,30.15,41.049999,63.189999,1536.109985,101.809998
2017-01-12,48.099998,119.25,813.640015,22.92,30.040001,40.950001,62.610001,1538.589966,101.839996
2017-01-13,47.650002,119.040001,817.140015,23.01,30.07,40.880001,62.700001,1545.819946,101.550003
2017-01-17,46.75,120.0,809.719971,22.049999,29.99,41.220001,62.529999,1540.130005,102.190002
2017-01-18,47.639999,119.989998,807.47998,22.629999,30.030001,41.290001,62.5,1541.859985,102.739998
2017-01-19,47.259998,119.779999,809.039978,22.530001,29.98,41.139999,62.299999,1539.02002,102.360001
2017-01-20,48.0,120.0,808.330017,22.639999,30.1,41.32,62.740002,1545.01001,103.239998
2017-01-23,46.939999,120.080002,817.880005,22.559999,30.27,41.43,62.959999,1554.98999,104.010002
2017-01-24,47.540001,119.970001,822.440002,22.950001,30.6,41.900002,63.52,1563.329956,104.709999
2017-01-25,47.91,121.879997,836.52002,23.370001,30.700001,42.119999,63.68,1578.819946,104.610001
2017-01-26,49.59,121.940002,839.150024,23.440001,30.74,41.810001,64.269997,1581.439941,104.139999
2017-01-27,46.950001,121.949997,835.77002,23.360001,30.98,41.450001,65.779999,1602.920044,103.480003
2017-01-30,44.900002,121.629997,830.380005,22.950001,30.83,41.380001,65.129997,1602.310059,103.690002
2017-01-31,44.25,121.349998,823.47998,22.639999,30.719999,41.57,64.650002,1575.130005,103.779999
2017-02-01,44.049999,128.75,832.349976,22.889999,30.5,41.259998,63.580002,1575.310059,103.010002
2017-02-02,44.009998,128.529999,839.950012,22.719999,31.18,41.400002,63.169998,1574.089966,104.029999
2017-02-03,44.200001,129.080002,810.200012,23.290001,31.32,41.540001,63.68,1583.380005,105.110001
2017-02-06,45.299999,130.289993,807.640015,23.120001,31.299999,41.560001,63.639999,1587.180054,104.57
2017-02-07,45.169998,131.529999,812.5,22.9,31.450001,41.900002,63.43,1598.699951,105.610001
2017-02-08,45.060001,132.039993,819.710022,22.67,31.27,42.02,63.34,1601.189941,105.690002
2017-02-09,46.299999,132.419998,821.359985,23.120001,31.5,41.25,64.059998,1611.829956,105.970001
2017-02-10,46.450001,132.119995,827.460022,23.08,31.51,40.580002,64.0,1646.51001,106.099998
2017-02-13,47.41,133.289993,836.530029,23.4,31.969999,40.619999,64.720001,1646.180054,106.519997
2017-02-14,46.57,135.020004,836.390015,24.059999,32.310001,40.529999,64.57,1637.290039,106.919998
2017-02-15,47.540001,135.509995,842.700012,24.58,32.82,40.439999,64.529999,1648.959961,106.730003
2017-02-16,46.970001,135.350006,844.140015,24.58,33.599998,41.200001,64.519997,1648.880005,108.120003
2017-02-17,46.91,135.720001,845.070007,24.52,33.740002,41.23,64.620003,1637.400024,108.150002
2017-02-21,46.810001,136.699997,856.440002,24.780001,34.130001,41.459999,64.489998,1647.0,109.360001
2017-02-22,46.32,137.110001,855.609985,24.790001,34.09,41.599998,64.360001,1651.73999,109.410004
2017-02-23,46.099998,136.529999,852.190002,24.58,34.040001,41.66,64.620003,1637.26001,109.540001
2017-02-24,46.279999,136.660004,845.23999,24.23,34.32,41.779999,64.620003,1631.619995,109.830002
2017-02-27,46.32,136.929993,848.640015,24.57,34.259998,41.669998,64.230003,1632.01001,109.269997
2017-02-28,46.360001,136.990005,845.039978,24.68,34.18,41.959999,63.98,1724.130005,110.379997
2017-03-01,47.09,139.789993,853.080017,25.5,34.439999,42.16,64.940002,1733.180054,109.730003
2017-03-02,45.720001,138.960007,848.909973,25.23,34.389999,42.470001,64.010002,1734.369995,110.110001
2017-03-03,46.82,139.779999,849.880005,25.440001,34.290001,42.48,64.25,1735.099976,110.559998
2017-03-06,45.310001,139.339996,846.609985,25.25,34.189999,42.18,64.269997,1730.209961,109.629997
2017-03-07,44.84,139.520004,846.02002,25.209999,34.200001,41.990002,64.400002,1736.459961,109.32
2017-03-08,44.889999,139.0,850.5,25.26,34.02,41.990002,64.989998,1743.48999,109.300003
2017-03-09,43.330002,138.679993,853.0,25.35,34.07,42.029999,64.730003,1749.420044,109.019997
2017-03-10,43.900002,139.139999,852.460022,25.309999,34.259998,42.290001,64.93,1754.23999,109.589996
2017-03-13,42.369999,139.199997,854.590027,25.299999,34.099998,42.029999,64.709999,1767.119995,109.410004
2017-03-14,41.209999,138.990005,852.530029,25.32,34.119999,41.970001,64.410004,1769.0,109.339996
2017-03-15,42.09,140.460007,852.969971,25.18,34.240002,42.119999,64.75,1767.97998,111.110001
2017-03-16,42.130001,140.690002,853.419983,25.219999,34.23,42.25,64.639999,1773.97998,111.139999
2017-03-17,41.720001,139.990005,852.309998,24.860001,34.23,42.029999,64.870003,1772.630005,111.389999
2017-03-20,41.700001,141.460007,856.969971,24.440001,34.279999,42.18,64.93,1765.439941,111.150002
2017-03-21,40.419998,139.839996,843.200012,23.02,33.880001,42.5,64.209999,1747.140015,111.769997
2017-03-22,40.349998,141.419998,848.059998,22.940001,34.099998,42.380001,65.029999,1751.98999,112.019997
2017-03-23,41.41,140.919998,847.380005,23.07,33.959999,42.169998,64.870003,1748.329956,111.779999
2017-03-24,41.73,140.639999,845.609985,23.120001,34.080002,42.119999,64.980003,1753.109985,112.120003
2017-03-27,41.740002,140.880005,846.820007,23.030001,33.990002,42.32,65.099998,1772.0,111.830002
2017-03-28,42.599998,143.800003,856.0,23.48,34.02,42.43,65.290001,1788.449951,112.449997
2017-03-29,41.959999,144.119995,874.320007,23.35,33.740002,42.419998,65.470001,1785.050049,112.43
2017-03-30,42.540001,143.929993,876.340027,23.870001,33.740002,42.599998,65.709999,1789.199951,112.18
2017-03-31,42.299999,143.660004,886.539978,23.59,33.799999,42.439999,65.860001,1779.969971,111.860001
2017-04-03,42.450001,143.699997,891.51001,23.59,33.580002,42.41,65.550003,1773.98999,111.860001
2017-04-04,40.900002,144.770004,906.830017,23.440001,33.41,42.68,65.730003,1767.380005,112.080002
2017-04-05,41.310001,144.020004,909.280029,23.17,33.0,42.57,65.559998,1761.77002,111.940002
2017-04-06,41.720001,143.660004,898.280029,23.26,33.080002,42.669998,65.730003,1773.52002,111.580002
2017-04-07,41.810001,143.339996,894.880005,23.16,32.959999,42.610001,65.68,1769.560059,111.610001
2017-04-10,42.32,143.169998,907.039978,23.02,33.009998,42.689999,65.529999,1775.969971,112.019997
2017-04-11,43.93,141.630005,902.359985,22.92,32.919998,42.66,65.480003,1768.400024,111.730003
2017-04-12,43.959999,141.800003,896.22998,22.65,32.619999,42.939999,65.230003,1750.01001,113.610001
2017-04-13,43.349998,141.050003,884.669983,22.34,32.419998,42.790001,64.949997,1738.77002,112.68
2017-04-17,44.23,141.830002,901.98999,22.809999,32.610001,43.07,65.480003,1770.609985,113.32
2017-04-18,43.810001,141.199997,903.780029,22.709999,32.669998,43.48,65.389999,1763.310059,114.279999
2017-04-19,44.400002,140.679993,899.200012,22.74,32.650002,43.23,65.040001,1763.199951,113.620003
